"Date","Location","Distributed","Distributed_Janssen","Distributed_Moderna","Distributed_Pfizer","Distributed_Unk_Manuf","Dist_Per_100K","Administered","Administered_Janssen","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Admin_Per_100K","Recip_Administered","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_Janssen","Series_Complete_Moderna","Series_Complete_Pfizer","Series_Complete_Unk_Manuf","Additional_Doses","Additional_Doses_Vax_Pct","Additional_Doses_Moderna","Additional_Doses_Pfizer","Additional_Doses_Janssen","Additional_Doses_Unk_Manuf"
2020-12-14,"MA",5850,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"SD",3900,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"FL",48750,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"UT",2925,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"SC",5850,0,0,0,0,114,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"TN",975,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"AZ",21450,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"NM",8775,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"PA",7800,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"RI",1950,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"LA",2925,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"MT",1950,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"WV",10725,0,0,0,0,598,29,0,0,29,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"IA",5850,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"VA",72150,0,0,0,0,845,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"SD",7800,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"VT",3900,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"ND",6825,0,0,0,0,896,282,0,0,282,0,37,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"WV",16575,0,0,0,0,925,3034,0,0,3034,0,169,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"CA",148200,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"SC",41925,0,0,0,0,814,153,0,0,153,0,3,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"OR",4875,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"NJ",9750,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"TN",975,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"GA",5850,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"LA",35100,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"MN",6825,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"AZ",58500,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"UT",9750,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"RI",4875,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"WA",31200,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"WY",4875,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"NY",87750,0,0,0,0,451,147,0,0,147,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"WI",32175,0,0,0,0,553,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"NH",4875,0,0,0,0,359,108,0,0,108,0,8,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"NV",17550,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"MD",1950,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"NM",10725,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
